question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,category,difficulty,type,domain,points,time_limit,error_taxonomy,vignette_title,vignette_content,image_url,guideline_id,blueprint_topic_id
"Pasien laki-laki 60 tahun dengan nyeri dada压迫性, sesak napas. EKG menunjukkan ST elevasi V1-V4. Diagnosis yang paling mungkin?","STEMI anterior","STEMI inferior","Perikarditis","Pulmonal emboli","A","ST elevasi V1-V4 khas untuk oklusi LAD → STEMI anterior","Cardiology","Hard","MCQ","Diagnosis",3,90,"","","","","","cardio_stemi"
"Wanita 25 tahun dengan demam, ruam kulit butterfly, arthritis. Laboratory: ANA positif, anti-dsDNA positif. Diagnosis?","SLE","RA","Sjogren syndrome","Scleroderma","A","Butterfly rash + ANA + anti-dsDNA patognomonik untuk SLE","Rheumatology","Medium","MCQ","Diagnosis",2,60,"","","","","","autoimmune_sle"
"Anak 8 bulan dengan kejang demam pertama, durasi < 5 menit. Pemeriksaan penunjang yang wajib dilakukan?","EEG","Lumbar Puncture","Darah Lengkap","CT Scan Kepala","B","Pada bayi < 12 bulan dengan kejang demam pertama, LP sangat dipertimbangkan untuk menyingkirkan meningitis (AAP Guidelines)","Neurology","Hard","MCQ","Investigation",2,90,"Patient Safety","","","","","peds_febrile_seizure"
"Pasien dengan diabetes melitus tipo 2, tekanan darah 160/100 mmHg. Terapi antihipertensi lini pertama?","ACE inhibitor","Calcium channel blocker","Beta blocker","Diuretik","A","ACE inhibitor atau ARB adalah lini pertama pada pasien diabetes dengan hipertensi","Endocrinology","Medium","MCQ","Therapy",2,60,"","","","","","dm_htn"
"Laki-laki 45 tahun dengan nyeri perut kanan bawah, mual, muntah. Pemeriksaan fisik: McBurney point tenderness. Diagnosis?","Acute appendicitis","Acute cholecystitis","Acute pancreatitis","Intestinal obstruction","A","Nyeri右下腹 + McBurney point tenderness = appendicitis akut","Surgery","Medium","MCQ","Diagnosis",2,60,"","","","","","abdominal_pain"
"Pasien denganCHF, edema, dispnea. Furosemide 40mg IV diberikan. Efek diuretik mulai dalam berapa menit?","5-10 menit","15-20 menit","30-45 menit","60-90 menit","B","Furosemide IV mulai bekerja dalam 5-15 menit","Cardiology","Easy","MCQ","Therapy",1,30,"","","","","","diuretic_timing"
"Wanita hamil 32 minggu dengan perdarahan vagina, nyeri uterus. USG menunjukkan plasenta previa. Tatalaksana?","Bed rest total","Sectio caesarea","Observation","Tokolisis","B","Plasenta previa pada trimester III dengan perdarahan → SC elektif","Obstetrics","Hard","MCQ","Therapy",3,90,"","","","","","bleeding_pregnancy"
"Anak 3 tahun dengan batuk, fever, wheezing. Auskultasi: rhonchi dan wheeze bilateral. Diagnosis?","Bronchiolitis","Pneumonia","Asthma","Croup","A","Wheezing + usia < 2 tahun = bronchiolitis","Pediatrics","Medium","MCQ","Diagnosis",2,60,"","","","","","respiratory_wheezing"
"Pasien stroke iskemik, arrived within 3 hours onset. NIHSS score 8. Terapi reperfusi?","rTPA IV","rTPA IA","Mecanic thrombectomy","Heparinisasi","A","rTPA IV indicated jika onset < 4.5 jam dan tidak ada kontraindikasi","Neurology","Hard","MCQ","Therapy",3,90,"","","","","","stroke_reperfusion"
"Laki-laki 70 tahun dengan BPH, urinary retention. PSA 12 ng/mL. Next step?","TRUS biopsy","TURP","Alpha blocker","Observation","A","PSA > 10 + gejala BPH → suspect prostate cancer, perlu biopsy","Urology","Hard","MCQ","Investigation",3,90,"","","","","","bph_psa"